PID,Date,Secret date,,,,,,
islandora:970,1919,1919-12-31,https://digital.lib.calpoly.edu/islandora-970,,,,,
cpsca:75,1920,1920-04-30,https://digital.lib.calpoly.edu/cpsca-75,,,,,
rekl:2575,1920,1920-08-26,https://digital.lib.calpoly.edu/rekl-2575,,,,,
rekl:8459,1921,1921-08-18,https://digital.lib.calpoly.edu/rekl-8459,,,,,
rekl:9208,1922,1922-01-14,https://digital.lib.calpoly.edu/rekl-9208,,,,,
rekl:90972,1923,x,https://digital.lib.calpoly.edu/rekl-90972,,,,,
rekl:14207,1924,x,https://digital.lib.calpoly.edu/rekl-14207,,,,,
rekl:15015,1925,x,https://digital.lib.calpoly.edu/rekl-15015,,,,,
rekl:15012,1925,x,https://digital.lib.calpoly.edu/rekl-15012,,,,,
rekl:81763,1928,1928-11-28,https://digital.lib.calpoly.edu/rekl-81763,,,,,
rekl:82073,1929,1929-07-22,https://digital.lib.calpoly.edu/rekl-82073,,,,,
rekl:87978,1934,1934-12-20,https://digital.lib.calpoly.edu/rekl-87978,,,,,
rekl:87975,1935,1935-01-01,https://digital.lib.calpoly.edu/rekl-87975,,,,,
islandora:1019,1919-12,1919-12-22,https://digital.lib.calpoly.edu/islandora-1019,,,,,
rekl:727,1920-07,1920-07-10,https://digital.lib.calpoly.edu/rekl-727,,,,,
rekl:732,1920-07,1920-07-11,https://digital.lib.calpoly.edu/rekl-732,,,,,
rekl:2587,1920-08,1920-08-31,https://digital.lib.calpoly.edu/rekl-2587,,,,,
rekl:2584,1920-08,1920-08-31,https://digital.lib.calpoly.edu/rekl-2584,,,,,
rekl:4303,1921-01-17/18,1921-01-18,https://digital.lib.calpoly.edu/rekl-4303,,,,,
rekl:8953,1921-11,1921-11-01,https://digital.lib.calpoly.edu/rekl-8953,,,,,
rekl:9113,1921-12,1921-12-24,https://digital.lib.calpoly.edu/rekl-9113,,,,,
rekl:9161,1921-12,1921-12-28,https://digital.lib.calpoly.edu/rekl-9161,,,,,
rekl:9047,1921-12,1921-12-09,https://digital.lib.calpoly.edu/rekl-9047,,,,,
rekl:9025,1921-12,1921-12-04,https://digital.lib.calpoly.edu/rekl-9025,,,,,
rekl:9164,1921-12,1921-12-28,https://digital.lib.calpoly.edu/rekl-9164,,,,,
rekl:9250,1922-01,1922-01-31,https://digital.lib.calpoly.edu/rekl-9250,,,,,
rekl:12334,1922-10,1922-10-05,https://digital.lib.calpoly.edu/rekl-12334,,,,,
rekl:12474,1922-11,1922-11-21,https://digital.lib.calpoly.edu/rekl-12474,,,,,
rekl:12497,1922-11,1922-11-22,https://digital.lib.calpoly.edu/rekl-12497,,,,,
rekl:12540,1922-12,1922-12-17,https://digital.lib.calpoly.edu/rekl-12540,,,,,
rekl:14647,1925-05,1925-05-15,https://digital.lib.calpoly.edu/rekl-14647,,,,,
rekl:14778,1925-07,1925-07-31,https://digital.lib.calpoly.edu/rekl-14778,,,,,
rekl:14773,1925-07,1925-07-31,https://digital.lib.calpoly.edu/rekl-14773,,,,,
rekl:14902,1925-09,1925-09-20,https://digital.lib.calpoly.edu/rekl-14902,,,,,
rekl:14893,1925-09,1925-09-16,https://digital.lib.calpoly.edu/rekl-14893,,,,,
rekl:14836,1925-09,1925-09-01,https://digital.lib.calpoly.edu/rekl-14836,,,,,
rekl:14947,1925-10,1925-10-28,https://digital.lib.calpoly.edu/rekl-14947,,,,,
rekl:15883,1926-06,1926-06-18,https://digital.lib.calpoly.edu/rekl-15883,,,,,
rekl:15688,1926-06,1926-06-02,https://digital.lib.calpoly.edu/rekl-15688,,,,,
rekl:15726,1926-06,1926-06-07,https://digital.lib.calpoly.edu/rekl-15726,,,,,
rekl:16131,1926-10,1926-10-11,https://digital.lib.calpoly.edu/rekl-16131,,,,,
rekl:16207,1926-12,1926-12-30,https://digital.lib.calpoly.edu/rekl-16207,,,,,
rekl:16750,1927-02,1927-02-23,https://digital.lib.calpoly.edu/rekl-16750,,,,,
rekl:16797,1927-03,1927-03-10,https://digital.lib.calpoly.edu/rekl-16797,,,,,
rekl:16815,1927-03,1927-03-14,https://digital.lib.calpoly.edu/rekl-16815,,,,,
rekl:16808,1927-03,1927-03-13,https://digital.lib.calpoly.edu/rekl-16808,,,,,
